,Country,Date,Number
0,Poland,2020-01-30,0
1,Sweden,2020-01-30,0
2,Switzerland,2020-01-30,0
3,United Kingdom,2020-01-30,0
4,Poland,2020-01-31,0
5,Sweden,2020-01-31,0
6,Switzerland,2020-01-31,0
7,United Kingdom,2020-01-31,0
8,Poland,2020-02-01,0
9,Sweden,2020-02-01,0
10,Switzerland,2020-02-01,0
11,United Kingdom,2020-02-01,0
12,Poland,2020-02-02,0
13,Sweden,2020-02-02,0
14,Switzerland,2020-02-02,0
15,United Kingdom,2020-02-02,0
16,Poland,2020-02-03,0
17,Sweden,2020-02-03,0
18,Switzerland,2020-02-03,0
19,United Kingdom,2020-02-03,0
20,Poland,2020-02-04,0
21,Sweden,2020-02-04,0
22,Switzerland,2020-02-04,0
23,United Kingdom,2020-02-04,0
24,Poland,2020-02-05,0
25,Sweden,2020-02-05,0
26,Switzerland,2020-02-05,0
27,United Kingdom,2020-02-05,0
28,Poland,2020-02-06,0
29,Sweden,2020-02-06,0
30,Switzerland,2020-02-06,0
31,United Kingdom,2020-02-06,0
32,Poland,2020-02-07,0
33,Sweden,2020-02-07,0
34,Switzerland,2020-02-07,0
35,United Kingdom,2020-02-07,0
36,Poland,2020-02-08,0
37,Sweden,2020-02-08,0
38,Switzerland,2020-02-08,0
39,United Kingdom,2020-02-08,0
40,Poland,2020-02-09,0
41,Sweden,2020-02-09,0
42,Switzerland,2020-02-09,0
43,United Kingdom,2020-02-09,0
44,Poland,2020-02-10,0
45,Sweden,2020-02-10,0
46,Switzerland,2020-02-10,0
47,United Kingdom,2020-02-10,0
48,Poland,2020-02-11,0
49,Sweden,2020-02-11,0
50,Switzerland,2020-02-11,0
51,United Kingdom,2020-02-11,0
52,Poland,2020-02-12,0
53,Sweden,2020-02-12,0
54,Switzerland,2020-02-12,0
55,United Kingdom,2020-02-12,0
56,Poland,2020-02-13,0
57,Sweden,2020-02-13,0
58,Switzerland,2020-02-13,0
59,United Kingdom,2020-02-13,0
60,Poland,2020-02-14,0
61,Sweden,2020-02-14,0
62,Switzerland,2020-02-14,0
63,United Kingdom,2020-02-14,0
64,Poland,2020-02-15,0
65,Sweden,2020-02-15,0
66,Switzerland,2020-02-15,0
67,United Kingdom,2020-02-15,0
68,Poland,2020-02-16,0
69,Sweden,2020-02-16,0
70,Switzerland,2020-02-16,0
71,United Kingdom,2020-02-16,0
72,Poland,2020-02-17,0
73,Sweden,2020-02-17,0
74,Switzerland,2020-02-17,0
75,United Kingdom,2020-02-17,0
76,Poland,2020-02-18,0
77,Sweden,2020-02-18,0
78,Switzerland,2020-02-18,0
79,United Kingdom,2020-02-18,0
80,Poland,2020-02-19,0
81,Sweden,2020-02-19,0
82,Switzerland,2020-02-19,0
83,United Kingdom,2020-02-19,0
84,Poland,2020-02-20,0
85,Sweden,2020-02-20,0
86,Switzerland,2020-02-20,0
87,United Kingdom,2020-02-20,0
88,Poland,2020-02-21,0
89,Sweden,2020-02-21,0
90,Switzerland,2020-02-21,0
91,United Kingdom,2020-02-21,0
92,Poland,2020-02-22,0
93,Sweden,2020-02-22,0
94,Switzerland,2020-02-22,0
95,United Kingdom,2020-02-22,0
96,Poland,2020-02-23,0
97,Sweden,2020-02-23,0
98,Switzerland,2020-02-23,0
99,United Kingdom,2020-02-23,0
100,Poland,2020-02-24,0
101,Sweden,2020-02-24,0
102,Switzerland,2020-02-24,0
103,United Kingdom,2020-02-24,0
104,Poland,2020-02-25,0
105,Sweden,2020-02-25,0
106,Switzerland,2020-02-25,0
107,United Kingdom,2020-02-25,0
108,Poland,2020-02-26,0
109,Sweden,2020-02-26,0
110,Switzerland,2020-02-26,0
111,United Kingdom,2020-02-26,0
112,Poland,2020-02-27,0
113,Sweden,2020-02-27,0
114,Switzerland,2020-02-27,0
115,United Kingdom,2020-02-27,0
116,Poland,2020-02-28,0
117,Sweden,2020-02-28,0
118,Switzerland,2020-02-28,0
119,United Kingdom,2020-02-28,0
120,Poland,2020-02-29,0
121,Sweden,2020-02-29,0
122,Switzerland,2020-02-29,0
123,United Kingdom,2020-02-29,0
124,Poland,2020-03-01,0
125,Sweden,2020-03-01,0
126,Switzerland,2020-03-01,0
127,United Kingdom,2020-03-01,0
128,Poland,2020-03-02,0
129,Sweden,2020-03-02,0
130,Switzerland,2020-03-02,0
131,United Kingdom,2020-03-02,0
132,Poland,2020-03-03,0
133,Sweden,2020-03-03,0
134,Switzerland,2020-03-03,0
135,United Kingdom,2020-03-03,0
136,Poland,2020-03-04,0
137,Sweden,2020-03-04,0
138,Switzerland,2020-03-04,0
139,United Kingdom,2020-03-04,0
140,Poland,2020-03-05,0
141,Sweden,2020-03-05,0
142,Switzerland,2020-03-05,1
143,United Kingdom,2020-03-05,0
144,Poland,2020-03-06,0
145,Sweden,2020-03-06,0
